id,Name,Age group=0-15: % by age,Age group=16-24: % by age,Age group=25-34: % by age,Age group=35-49: % by age,Age group=50-64: % by age,Age group=65++: % by age,Ethnic group=White: % by ethnic group,Ethnic group=Asian; Asian British or Asian Welsh: % by ethnic group,Ethnic group=Black; Black British; Black Welsh; Caribbean or African: % by ethnic group,Ethnic group=Mixed or Multiple ethnic groups: % by ethnic group,Ethnic group=Other ethnic group: % by ethnic group,level=No qualifications: % by qualification level,level=level 1: % by qualification level,level=level 2: % by qualification level,level=level 3: % by qualification level,level=level 4: % by qualification level,level=other: % by qualification level,level=Does not apply: % by qualification level,status=active + employed: % by economic activity,status=active + unemployed: % by economic activity,status=student active + employed: % by economic activity,status=student active + unemployed: % by economic activity,status=student inactive: % by economic activity,status=not student inactive: % by economic activity,status=Does not apply: % by economic activity,% not deprived,% deprived in one dimension,% deprived in two dimensions,% deprived in three dimensions,% deprived in four dimensions,All: % 1-29 min exercise per week,All: % 30-149 min exercise per week,All: % 150+ min exercise per week,Female: % 1-29 min exercise per week,Female: % 30-149 min exercise per week,Female: % 150+ min exercise per week,Male: % 1-29 min exercise per week,Male: % 30-149 min exercise per week,Male: % 150+ min exercise per week,All: % not club members,All: % club members,Female: % not club members,Female: % club members,Male: % not club members,Male: % club members
E07000146,King's Lynn and West Norfolk,16.5,8.3,11.5,16.7,21.2,25.9,95.6,1.9,0.5,1.3,0.7,19.5,10.1,12.6,13.7,19.5,8.1,16.5,44.1,1.8,0.8,0.3,2.2,34.4,16.5,44.0,36.8,15.6,3.5,0.2,22.67,19.54,57.79,22.79,21.65,55.55,22.52,16.54,60.94,73.88,26.12,75.31,24.69,72.16,27.84
E07000147,North Norfolk,13.4,7.1,8.7,14.2,23.1,33.5,98.1,0.6,0.2,0.9,0.2,17.8,10.0,13.2,14.0,22.7,8.8,13.4,39.8,1.7,0.6,0.2,2.2,42.0,13.4,44.4,37.7,14.9,2.9,0.2,17.99,14.73,67.28,20.34,16.57,63.10,15.47,12.44,72.09,73.19,26.81,82.12,17.88,62.90,37.10
E07000148,Norwich,16.1,17.7,16.5,19.2,15.6,14.9,87.1,5.5,2.5,3.1,1.8,14.3,7.7,10.0,17.5,28.6,5.7,16.1,43.1,2.5,2.5,1.2,9.8,24.8,16.1,45.0,34.4,15.6,4.7,0.3,16.48,14.44,69.09,16.16,15.87,67.97,17.04,13.47,69.49,75.21,24.79,74.78,25.22,74.92,25.08
E07000149,South Norfolk,17.4,8.0,10.9,18.4,21.0,24.3,95.4,1.8,0.8,1.5,0.5,14.1,8.3,12.4,14.3,26.5,7.0,17.4,46.8,1.4,0.9,0.3,2.7,30.5,17.4,51.7,34.6,11.6,2.1,0.1,15.86,20.82,63.31,17.16,21.70,61.14,13.68,20.01,66.31,62.69,37.31,68.24,31.76,56.35,43.65
E07000163,Craven,15.2,7.6,9.4,16.3,24.0,27.5,96.9,1.7,0.2,1.0,0.3,12.4,7.5,11.3,14.5,31.9,7.3,15.2,46.7,1.3,0.9,0.2,2.5,33.2,15.2,,,,,,12.50,13.01,74.49,12.26,14.87,72.87,12.23,11.18,76.59,67.24,32.76,75.25,24.75,59.60,40.40
E07000164,Hambleton,15.1,8.0,10.0,15.8,23.9,27.3,97.9,0.7,0.3,0.8,0.3,12.9,7.5,11.4,14.6,31.1,7.5,15.1,46.9,1.3,0.9,0.2,2.5,33.1,15.1,,,,,,16.34,12.42,71.24,15.96,15.25,68.79,16.41,9.32,74.26,67.60,32.40,69.71,30.29,65.30,34.70
E07000165,Harrogate,16.8,8.7,10.2,18.3,22.6,23.4,95.4,1.8,0.6,1.6,0.5,11.4,6.9,11.6,13.4,33.2,6.6,16.8,47.9,1.4,1.1,0.2,3.5,29.1,16.8,,,,,,15.43,14.03,70.54,15.44,17.57,66.99,15.09,10.31,74.60,58.90,41.10,59.27,40.73,58.57,41.43
E07000166,Richmondshire,16.1,10.3,11.8,16.2,22.2,23.4,94.4,2.7,0.9,0.9,1.1,12.9,7.8,12.2,15.6,27.5,7.7,16.1,48.7,1.5,0.8,0.2,2.3,30.2,16.1,,,,,,18.14,12.43,69.43,20.01,12.45,67.54,15.68,12.49,71.83,60.87,39.13,68.82,31.18,52.14,47.86
E07000167,Ryedale,15.3,7.8,9.7,16.0,23.6,27.7,98.2,0.6,0.2,0.8,0.3,15.0,8.0,12.3,13.8,28.0,7.6,15.3,46.6,1.3,0.9,0.1,2.6,33.2,15.3,,,,,,18.01,15.50,66.49,16.84,16.73,66.42,19.01,14.26,66.73,77.72,22.28,81.55,18.45,72.96,27.04
E07000168,Scarborough,15.3,8.1,10.6,15.7,22.9,27.5,97.0,1.3,0.3,1.0,0.5,17.4,8.5,12.0,14.2,23.3,9.2,15.3,41.8,2.0,1.0,0.2,2.7,37.0,15.3,,,,,,19.04,12.57,68.40,19.18,14.89,65.93,19.20,9.48,71.32,73.34,26.66,78.12,21.88,71.35,28.65
